mu,Delta,Gap
-3.2361809045226133,1.0526315789473684,1.238789490074395
-3.2361809045226133,1.1473684210526316,1.2390920318319418
-3.2361809045226133,1.2421052631578948,1.2394188707944311
-3.2361809045226133,1.3368421052631578,1.2397697099943576
-3.2361809045226133,1.431578947368421,1.2401442545057606
-3.2361809045226133,1.5263157894736843,1.2405422116630833
-3.2361809045226133,1.6210526315789473,1.2409632911989554
-3.2361809045226133,1.7157894736842105,1.2414072053322494
-3.2361809045226133,1.8105263157894738,1.241873668825516
-3.2361809045226133,1.9052631578947368,1.2423623990232608
-3.2361809045226133,2.0,1.2428731158781534
-3.1959798994974875,0.2,1.197009821090395
-3.1959798994974875,0.2947368421052632,1.1970828745401383
-3.1959798994974875,0.3894736842105263,1.1971836297050942
-3.1959798994974875,0.4842105263157895,1.1973118499601132
-3.1959798994974875,0.5789473684210527,1.197467264590121
-3.1959798994974875,0.6736842105263159,1.1976495806773946
-3.1959798994974875,0.7684210526315789,1.1978584918653623
-3.1959798994974875,0.8631578947368421,1.1980936843528662
-3.1959798994974875,0.9578947368421054,1.1983548407940012
-3.1959798994974875,1.0526315789473684,1.1986416427559738
-3.1959798994974875,1.1473684210526316,1.198953772239812
-3.1959798994974875,1.2421052631578948,1.1992909126129803
-3.1959798994974875,1.3368421052631578,1.1996527491804219
-3.1959798994974875,1.431578947368421,1.200038969535595
-3.1959798994974875,1.5263157894736843,1.2004492637781454
-3.1959798994974875,1.6210526315789473,1.2008833246507553
-3.1959798994974875,1.7157894736842105,1.2013408476266492
-3.1959798994974875,1.8105263157894738,1.2018215309668712
-3.1959798994974875,1.9052631578947368,1.2023250757587114
-3.1959798994974875,2.0,1.202851185942239
-3.1557788944723617,0.2,1.1568109611606985
-3.1557788944723617,0.2947368421052632,1.1568865148936383
-3.1557788944723617,0.3894736842105263,1.156990706202954
-3.1557788944723617,0.4842105263157895,1.1571232807272658
-3.1557788944723617,0.5789473684210527,1.1572839482182846
-3.1557788944723617,0.6736842105263159,1.1574723953586499
-3.1557788944723617,0.7684210526315789,1.1576882950951117
-3.1557788944723617,0.8631578947368421,1.157931312944257
-3.1557788944723617,0.9578947368421054,1.1582011110474486
-3.1557788944723617,1.0526315789473684,1.158497350699235
-3.1557788944723617,1.1473684210526316,1.1588196938967092
-3.1557788944723617,1.2421052631578948,1.1591678042817948
-3.1557788944723617,1.3368421052631578,1.1595413477142107
-3.1557788944723617,1.431578947368421,1.1599399926217966
